,Direct Irradiance,Horizontal Irradiance,Tilt Irradiance,fips
426,4.56,4.46,5.14,37183
427,4.53,4.45,5.13,37195
428,4.16,3.73,4.39,38017
429,3.62,3.89,4.43,39003
430,3.72,3.94,4.5,39009
431,3.54,3.87,4.4,39013
432,3.92,4.04,4.62,39017
433,3.62,3.92,4.45,39023
434,3.96,4.06,4.64,39025
435,3.44,3.82,4.24,39035
436,3.62,3.9,4.43,39041
437,3.54,3.86,4.35,39043
438,3.73,3.96,4.5,39045
439,3.67,3.94,4.48,39049
440,3.52,3.8,4.32,39055
441,3.82,4.0,4.55,39057
442,4.03,4.08,4.68,39061
443,3.41,3.8,4.21,39085
444,3.62,3.9,4.43,39089
445,3.43,3.8,4.27,39093
446,3.56,3.85,4.38,39095
447,3.48,3.81,4.33,39099
448,3.5,3.81,4.33,39103
449,3.82,4.0,4.57,39113
450,3.45,3.78,4.3,39133
451,3.5,3.83,4.34,39139
452,3.8,3.99,4.55,39141
453,3.44,3.8,4.32,39151
454,3.48,3.8,4.33,39153
455,3.36,3.75,4.24,39155
456,3.5,3.84,4.37,39157
457,3.93,4.04,4.62,39165
458,3.46,3.81,4.31,39169
459,3.52,3.84,4.35,39173
460,5.15,4.67,5.35,40027
461,5.4,4.84,5.55,40031
462,5.16,4.67,5.36,40109
463,3.91,3.72,4.23,41003
464,3.57,3.56,4.1,41005
465,5.82,4.49,5.4,41017
466,4.36,4.02,4.57,41019
467,5.37,4.5,5.22,41029
468,5.19,4.43,5.08,41033
469,6.14,4.69,5.54,41035
470,4.14,3.88,4.43,41039
471,4.05,3.75,4.29,41043
472,3.87,3.64,4.19,41047
473,3.18,3.46,3.94,41051
474,3.88,3.74,4.27,41053
475,4.8,4.14,4.86,41059
476,3.62,3.65,4.19,41067
477,3.78,3.67,4.19,41071
478,3.93,4.01,4.68,42001
479,3.42,3.81,4.35,42003
480,3.38,3.76,4.27,42005
481,3.38,3.78,4.3,42007
482,3.74,3.92,4.56,42011
483,3.46,3.77,4.33,42013
484,3.9,3.98,4.66,42017
485,3.46,3.79,4.32,42019
486,3.4,3.73,4.27,42021
487,3.64,3.82,4.45,42025
488,3.78,3.82,4.45,42027
489,4.0,4.03,4.71,42029
490,3.44,3.74,4.3,42033
491,3.51,3.81,4.4,42037
492,3.43,3.72,4.23,42039
493,3.86,3.97,4.62,42041
494,3.81,3.91,4.57,42043
495,4.05,4.05,4.75,42045
496,3.17,3.65,4.01,42049
497,3.39,3.79,4.3,42051
498,3.73,3.93,4.55,42055
499,3.41,3.77,4.3,42063
500,3.43,3.75,4.34,42069
501,3.85,3.98,4.64,42071
502,3.44,3.8,4.33,42073
503,3.78,3.94,4.57,42075
504,3.69,3.9,4.52,42077
505,3.53,3.79,4.39,42079
506,3.54,3.78,4.38,42081
507,3.39,3.74,4.23,42085
508,3.72,3.84,4.5,42089
509,3.86,3.97,4.64,42091
510,3.7,3.89,4.52,42095
511,3.62,3.86,4.46,42097
512,3.98,4.02,4.73,42101
513,3.68,3.83,4.47,42107
514,3.41,3.76,4.3,42111
515,3.48,3.84,4.37,42125
516,3.41,3.82,4.34,42129
517,3.84,3.99,4.64,42133
518,3.9,3.89,4.63,44003
519,3.66,3.86,4.52,44005
520,3.79,3.84,4.56,44007
521,3.93,3.93,4.66,44009
522,4.6,4.6,5.22,45003
523,4.74,4.62,5.28,45007
524,4.86,4.8,5.41,45013
525,4.51,4.58,5.18,45015
526,4.63,4.66,5.27,45019
527,4.65,4.63,5.24,45035
528,4.65,4.6,5.24,45041
529,4.66,4.56,5.23,45045
530,4.69,4.62,5.25,45047
531,4.62,4.59,5.22,45051
532,4.68,4.59,5.23,45059
533,4.55,4.56,5.18,45063
534,4.73,4.58,5.25,45073
535,4.63,4.62,5.24,45075
536,4.7,4.58,5.25,45077
537,4.56,4.56,5.19,45079
538,4.66,4.55,5.23,45083
539,4.68,4.57,5.23,45091
540,4.39,4.0,4.73,46099
541,4.18,4.3,4.9,47001
